C_gar_LG01	51122051
C_gar_LG02	51699193
C_gar_LG03	47617715
C_gar_LG04	44344128
C_gar_LG05	41461356
C_gar_LG06	41335549
C_gar_LG07	42559707
C_gar_LG08	40201409
C_gar_LG09	37344422
C_gar_LG10	34910366
C_gar_LG11	33514893
C_gar_LG12	35310757
C_gar_LG13	33492400
C_gar_LG14	32300615
C_gar_LG15	35026786
C_gar_LG16	33842134
C_gar_LG17	30285053
C_gar_LG18	30335725
C_gar_LG19	30655567
C_gar_LG20	27092686
C_gar_LG21	30602637
C_gar_LG22	30040754
C_gar_LG23	26131173
C_gar_LG24	25909460
C_gar_LG25	25579017
C_gar_LG26	26440968
C_gar_LG27	24049244
C_gar_LG28	20253780
